run,subrun,event,col_wire,col_time,ind_wire,ind_time
8563,204,10106,24,966,25,948
8563,205,10152,20,1209,28,1178
8563,209,10342,37,913,12,902
8563,211,10431,16,1085,33,1068
8563,212,10464,24,1502,25,1489
8563,214,10558,33,1258,17,1241
8563,216,10638,23,1227,26,1209
8563,219,10806,49,989,16,1007
8563,219,10813,33,1001,16,982
8563,219,10816,37,1152,31,1147
8563,220,10838,25,1280,23,1247
8563,222,10929,25,1013,24,989
8563,224,11032,23,1181,26,1161
8563,228,11223,29,1187,19,1159
8563,233,11464,31,1046,17,1021
8563,235,11553,33,893,15,870
8563,238,11704,21,1633,26,1598
8563,240,11777,30,1075,19,1052
8563,245,12032,19,1165,29,1137
8563,246,12083,27,1180,22,1147
8563,249,12221,35,1595,13,1580
8563,251,12335,25,1413,24,1377
8563,255,12520,23,1198,24,1172
8563,257,12600,21,960,27,932
8563,258,12628,20,1100,28,1076
8563,262,12834,22,1309,26,1283
8563,266,13052,28,1091,25,1081
8563,266,13064,31,1032,25,1047
8563,278,13653,18,1403,31,1378
8563,279,13705,33,1243,15,1213
8563,281,13781,25,1124,24,1106
8563,286,14064,29,1342,20,1317
8563,288,14191,31,1472,17,1426
8563,288,14199,21,983,27,964
8563,290,14277,34,1367,13,1336
8563,291,14365,29,1671,21,1645
8563,292,14410,36,1087,13,1073
8563,293,14451,34,1351,13,1319
8563,294,14481,34,1070,16,1049
8563,297,14627,23,999,25,973
8563,301,14866,21,1215,28,1198
8563,302,14895,32,1086,16,1065
8563,313,15399,16,1364,33,1352
8563,313,15416,22,1214,26,1185
8563,315,15532,30,1221,18,1203
8563,316,15577,21,1127,27,1108
8563,318,15663,29,1137,19,1110
8563,322,15811,30,1446,18,1426
8563,322,15842,31,1008,17,975
8580,12,1382,17,1442,31,1410
8580,13,1522,22,1393,28,1375
8580,18,2039,35,933,13,907
8580,22,2458,25,1366,23,1332
8580,23,2558,23,1827,25,1804
8580,36,3889,20,1056,28,1028
8580,40,4357,14,1589,34,1552
8580,43,4671,20,856,28,830
8580,43,4674,27,1147,21,1110
8580,44,4764,31,1298,18,1284
8580,48,5248,29,1103,20,1080
8580,55,5940,35,1212,28,1229
8580,57,6150,22,1072,133,1135
8580,61,6617,27,1040,23,1023
8580,64,6970,22,1162,26,1141
8580,67,7280,27,1245,22,1227
8580,68,7384,18,1016,31,992
8580,88,9484,35,1203,13,1184
8580,93,10044,31,1019,17,988
8580,104,11138,25,1014,24,989
8580,110,11762,27,1330,26,1321
8580,119,12781,22,1000,25,976
8580,126,13508,30,1276,18,1256
8580,150,15812,35,1211,13,1192
8580,156,16343,31,1125,17,1087
