run,subrun,event
8722,77,11168
8722,77,11195
8722,90,12920
8722,92,13209
8722,107,15352
8737,4,324
8737,26,2573
8737,59,5978
8737,59,5985
8737,65,6600
8560,101,4232
8560,101,4251
8560,117,4899
8560,135,5661
8560,140,5864
8560,140,5880
8560,146,6117
8560,192,8212
8560,248,10790
8560,250,10847
8630,6,349
8630,6,359
8630,27,1724
8630,54,3596
8630,56,3722
8630,67,4475
8630,67,4491
8630,79,5312
8630,101,6833
8630,112,7593
8630,119,8074
8630,124,8398
8630,137,9272
8630,159,10760
8630,197,13432
8630,218,14840
8632,37,2929
8632,52,4121
8632,63,4987
8632,75,6118
8632,75,6146
8632,110,9285
8632,116,9887
8632,116,9894
8632,145,12273
8632,166,13510
8722,5,600
8722,22,2951
8722,22,2974
8722,22,2989
8722,35,4843
8722,41,5781
8722,55,7845
8722,57,8163
8722,57,8187
8722,68,9859
8722,75,10854
8722,75,10880
8722,75,10902
8722,95,13634
8722,101,14509
8722,104,14891
8737,106,10920
8737,113,11627
8737,113,11629
8737,117,12051
8737,147,15099
9488,2,95
9488,2,100
9488,7,513
9488,12,944
9488,17,1291
9488,30,2302
9488,35,2679
9488,35,2707
9488,44,3447
9488,44,3496
9488,45,3533
9488,45,3555
9488,45,3569
9488,57,4537
9488,58,4600
9488,64,5087
9488,78,6178
9488,78,6193
9488,88,7040
9488,90,7212
9488,93,7436
9488,95,7602
9488,95,7607
9488,95,7618
9488,97,7790
9488,102,8203
9488,111,8966
9488,133,10869
9488,138,11215
9488,140,11405
9488,140,11406
9488,143,11617
9488,143,11624
9488,143,11628
9488,150,12208
9488,158,12847
9488,159,12899
9488,164,13305
9488,169,13708
9488,175,14128
9488,184,14815
9488,185,14875
9488,196,15716
9488,202,16222
9488,219,17361
9488,227,18024
9488,231,18346
9488,236,18759
9488,236,18761
9488,241,19166
9488,241,19176
9488,254,20149
9488,266,21101
9488,277,21893
9488,277,21908
9488,277,21926
9488,299,23629
9488,316,24974
9488,331,26137
9488,9,674
9488,9,702
9488,25,1894
9488,37,2843
9488,48,3779
9488,51,4053
9488,51,4078
9488,65,5169
9488,72,5698
9488,101,8148
9488,128,10415
9488,137,11149
9488,144,11694
9488,160,13002
9488,160,13020
9488,165,13400
9488,166,13473
9488,176,14212
9488,181,14585
9488,182,14627
9488,187,15025
9488,190,15268
9488,195,15635
9488,205,16379
9488,211,16813
9488,215,17111
9488,215,17117
9488,224,17795
9488,229,18157
9488,229,18167
9488,229,18180
9488,233,18493
9488,234,18598
9488,243,19329
9488,243,19330
9488,258,20474
9488,279,22046
9488,283,22357
9488,284,22431
9488,293,23144
9488,293,23145
9488,301,23806
9488,302,23870
9488,320,25290
9488,320,25292
9488,321,25366
9488,321,25392
9488,330,26074
9486,55,4564
9486,55,4594
9486,77,6164
9486,92,7284
9486,158,12093
9489,1,23
9489,11,802
9489,18,1289
9489,18,1309
9489,49,2969
9489,51,3068
9489,51,3100
9489,54,3312
9489,58,3605
9489,60,3757
9489,65,4117
9489,70,4479
9489,70,4485
9489,70,4511
9489,84,5607
9489,87,5774
9489,92,6139
9489,94,6304
9489,96,6478
9489,102,6941
9489,109,7476
9489,112,7735
9489,121,8215
9489,121,8227
9489,121,8251
9489,137,9238
9489,142,9534
9489,147,9892
9489,147,9895
9489,148,9979
9489,152,10255
9489,160,10757
9489,171,11457
9489,171,11464
9489,171,11473
9489,187,12410
9489,192,12733
9489,193,12762
9489,193,12785
9489,193,12793
9489,202,13381
9489,217,14416
9489,225,14924
9489,237,15684
9489,242,16003
9489,247,16303
9489,267,17524
9489,280,18342
9486,14,1225
9486,19,1664
9486,21,1849
9486,37,3125
9486,49,4130
9486,49,4142
9486,53,4416
9486,75,5994
9486,80,6385
9486,101,8013
9486,148,11289
9486,148,11313
9489,2,100
9489,4,234
9489,6,382
9489,8,578
9489,9,638
9489,19,1348
9489,19,1359
9489,22,1565
9489,24,1751
9489,53,3213
9489,69,4444
9489,79,5178
9489,79,5179
9489,81,5365
9489,91,6075
9489,101,6872
9489,101,6873
9489,138,9298
9489,145,9751
9489,158,10617
9489,173,11597
9489,194,12835
9489,199,13212
9489,226,14990
9489,236,15606
9489,236,15623
9489,239,15794
9489,239,15795
9489,241,15929
9489,243,16051
9489,254,16732
9489,256,16868
9489,274,17983
9489,274,17984
9481,235,18181
9481,235,18182
9481,235,18216
9481,237,18360
9481,237,18381
9481,249,19410
9481,253,19744
9481,259,20218
9481,264,20681
9481,276,21656
9481,280,21968
9481,285,22380
9481,301,23801
9481,328,26082
9481,333,26531
9481,346,27617
9481,350,27993
9481,363,29127
9481,372,29865
9481,385,30983
9481,385,30996
9481,385,31013
9481,385,31026
9481,393,31735
9481,401,32409
9481,401,32413
9481,406,32842
9481,406,32859
9481,406,32888
9481,421,34115
9481,421,34119
9481,428,34698
9481,428,34739
9481,429,34810
9481,477,38861
9481,477,38867
9489,15,1081
9489,25,1806
9489,55,3389
9489,63,3956
9489,74,4822
9489,82,5418
9489,103,7012
9489,129,8791
9489,159,10705
9489,159,10708
9489,170,11409
9489,196,13003
9490,3,157
9490,5,263
9490,7,387
9490,7,413
9481,3,180
9481,11,803
9481,11,806
9481,29,2169
9481,31,2317
9481,32,2414
9481,32,2421
9481,36,2752
9481,41,3103
9481,41,3137
9481,52,4001
9481,70,4876
9481,74,5156
9481,123,8912
9481,128,9284
9481,128,9303
9481,137,10088
9481,140,10333
9481,154,11467
9481,155,11554
9481,159,11887
9481,167,12601
9481,169,12757
9481,172,12982
9481,176,13309
9481,178,13504
9481,181,13724
9481,186,14153
9481,198,15111
9481,200,15282
9481,206,15769
9481,206,15778
9481,209,16003
9481,225,17300
9481,236,18263
9481,236,18272
9481,244,18937
9481,246,19127
9481,262,20489
9481,262,20493
9481,262,20507
9481,288,22663
9481,294,23140
9481,294,23166
9481,304,24060
9481,334,26580
9481,334,26582
9481,345,27563
9481,356,28547
9481,368,29542
9481,368,29550
9481,379,30526
9481,408,33080
9481,432,35066
9481,448,36394
9481,461,37439
9481,465,37842
9481,465,37848
9481,474,38623
9486,225,17445
9486,229,17721
9486,235,18245
9486,235,18246
9486,249,19360
9486,252,19634
9486,272,21297
9486,283,22095
9486,283,22098
9486,302,23615
9488,1,11
9488,1,45
9488,8,630
9488,10,783
9488,32,2464
9488,53,4234
9488,61,4847
9488,62,4937
9488,66,5254
9488,76,6030
9488,84,6682
9488,84,6697
9488,87,6939
9488,91,7304
9488,94,7555
9488,98,7897
9488,103,8288
9488,109,8779
9488,126,10247
9488,126,10253
9488,130,10590
9488,130,10601
9488,130,10608
9488,136,11090
9488,147,11946
9488,147,11957
9488,149,12112
9488,163,13249
9488,180,14498
9488,189,15180
9488,198,15896
9488,201,16128
9488,239,18982
9488,267,21154
9488,267,21155
9488,273,21571
9488,288,22761
9488,292,23101
9488,298,23541
9488,329,25992
9486,90,7152
9486,133,10047
9486,133,10051
9486,133,10052
9486,138,10504
9486,157,12017
9486,159,12156
9486,166,12655
9486,166,12659
9486,168,12793
9486,171,13027
9486,173,13198
9486,173,13206
9486,178,13579
9486,183,13961
9486,198,15046
9486,198,15048
9486,201,15361
9486,201,15381
9486,201,15396
9486,202,15460
