run,subrun,event
9762,359,32286
9762,363,32673
9762,378,33979
9762,381,34235
9762,381,34251
9762,408,36356
9762,425,37488
9762,429,37828
9762,429,37856
9762,435,38400
9762,437,38578
9762,457,40332
9762,466,41114
9518,2,114
9518,4,298
9518,7,562
9518,26,2365
9518,30,2754
9518,34,3107
9518,35,3188
9518,40,3606
9533,14,1019
9533,19,1327
9533,19,1330
9533,19,1336
9533,35,2464
9533,39,2773
9533,59,4212
9533,59,4216
9533,66,4697
9533,86,6194
9533,91,6526
9533,91,6529
9533,104,7480
9533,104,7483
9762,339,30646
9762,374,33636
9762,387,34700
9762,387,34701
9762,389,34850
9762,397,35586
9762,402,35917
9762,404,36100
9762,409,36404
9762,409,36407
9762,424,37388
9762,428,37756
9762,432,38122
9762,440,38864
9762,442,39002
9762,446,39366
9762,452,39902
9762,452,39931
9762,461,40697
9762,462,40743
9762,462,40758
9762,463,40837
9762,468,41321
9762,18,2822
9762,30,4045
9762,30,4054
9762,49,5692
9762,49,5701
9762,56,6467
9762,94,10121
9762,110,11539
9762,110,11561
9762,114,11854
9762,121,12490
9762,141,13609
9762,141,13642
9762,155,14911
9762,155,14923
9762,155,14929
9762,157,15102
9762,158,15186
9762,163,15649
9762,164,15756
9762,169,16175
9762,171,16351
9762,174,16597
9762,174,16610
9762,175,16719
9762,182,17310
9762,185,17566
9762,203,19216
9762,203,19234
9762,207,19503
9762,220,20695
9762,220,20724
9762,225,21155
9762,230,21623
9762,233,21902
9762,243,22753
9762,243,22757
9762,255,23770
9762,256,23825
9762,256,23832
9762,256,23857
9762,262,24316
9762,262,24331
9762,274,25420
9762,287,26470
9762,287,26471
9762,340,30708
9762,342,30908
9762,4,1262
9762,11,2053
9762,11,2066
9762,17,2724
9762,21,3164
9762,77,8614
9762,83,9203
9762,147,14200
9762,151,14541
9762,165,15805
9762,170,16239
9762,184,17484
9762,189,17951
9762,189,17973
9762,193,18302
9762,193,18327
9762,201,19041
9762,206,19401
9762,210,19816
9762,218,20538
9762,232,21823
9762,239,22398
9762,249,23276
9762,261,24268
9762,261,24271
9762,266,24675
9762,266,24690
9762,271,25176
9762,276,25625
9762,286,26395
9762,312,28483
9762,328,29792
9762,362,32547
9762,372,33449
9762,398,35635
9762,399,35721
9762,399,35740
9762,421,37171
9762,422,37215
9762,443,39108
9762,450,39754
9762,453,39978
9762,453,39993
9762,454,40077
9762,454,40095
8682,47,3734
8682,84,6148
8682,91,6720
8682,113,8659
8682,139,10747
8682,139,10748
8682,168,13310
8682,168,13344
8682,182,14525
8682,182,14553
8682,182,14557
8682,182,14559
8682,226,18121
8682,256,20914
8682,256,20939
8682,293,23754
8682,293,23793
8682,293,23794
8682,305,24813
8682,314,25545
8682,315,25651
8682,316,25711
8682,316,25720
8682,330,26889
8682,330,26898
8682,336,27563
8682,340,27980
8682,344,28297
8682,369,30871
8682,373,31265
8682,438,38563
8682,480,43192
8682,480,43236
8739,245,23466
8739,273,26233
8739,345,33303
8739,378,36373
8740,66,6453
8740,82,8057
8740,104,10096
8682,2,91
8682,2,112
8682,46,3637
8682,127,9769
8682,134,10342
8682,153,11957
8682,161,12722
8682,161,12735
8682,169,13424
8682,180,14397
8682,184,14686
8682,184,14696
8682,217,17352
8682,230,18841
8682,233,19079
8682,242,19784
8682,242,19824
8682,252,20614
8682,287,23258
8682,302,24529
8682,306,24909
8682,313,25456
8682,332,27138
8682,370,30945
8682,403,34698
8682,463,41370
8682,471,42208
8739,121,11570
8739,392,37622
8682,24,1948
